Set of 2 x 45lb Olympic Rubber Bumper Plates Pair Ethos Barbell Weights,$398.00,$100.00,$498.0,https://www.ebay.com/itm/Set-of-2-x-45lb-Olympic-Rubber-Bumper-Plates-Pair-Ethos-Barbell-Weights/143651965455?hash=item2172530a0f:g:u~EAAOSw6dle-vbt
"10 Lb Weider Olympic 2"" Weight Plates Set of Four (4) 40 Lbs Pounds - Hammertone",$149.95,FREE,$149.95,https://www.ebay.com/itm/10-Lb-Weider-Olympic-2-Weight-Plates-Set-of-Four-4-40-Lbs-Pounds-Hammertone/324221368468?hash=item4b7d197894:g:x5YAAOSw0itfBbq~
"CAP Pair Set 5LB Olympic Cast Iron 2"" Weight Plates (10LB Total) 5 Lb",$44.99,FREE,$44.99,https://www.ebay.com/itm/CAP-Pair-Set-5LB-Olympic-Cast-Iron-2-Weight-Plates-10LB-Total-5-Lb/293642127116?hash=item445e6f470c:g:1k8AAOSwubtfByTd
XMark Black Diamond 300 lb Olympic Weight Set With 7’ Bar - High Quality - New,"$1,075.00",$300.00,$1375.0,https://www.ebay.com/itm/XMark-Black-Diamond-300-lb-Olympic-Weight-Set-With-7-Bar-High-Quality-New/143636883488?hash=item21716ce820:g:R7EAAOSwMmpe1xUz
New CAP 50 Lb Olympic Weight Set Pair (4) 10 Lb Plates (2) 5 Lb Plates Cast Iron,$95.00,"Calculate
Varies based on location and shipping method",$95.0,https://www.ebay.com/itm/New-CAP-50-Lb-Olympic-Weight-Set-Pair-4-10-Lb-Plates-2-5-Lb-Plates-Cast-Iron/114262305971?hash=item1a9a906cb3:g:~7QAAOSwb9Reztni
Xmark Rubber Coated 300 lb Olympic Weight Set With 7’ Bar - New,"$1,025.00",$300.00,$1325.0,https://www.ebay.com/itm/Xmark-Rubber-Coated-300-lb-Olympic-Weight-Set-With-7-Bar-New/143638085288?hash=item21717f3ea8:g:vZQAAOSwhl1ew2Lo
CAP 110 LB Olympic Weight Set Similar to Golds Gym Cast Iron Plates 💪 Fast Ship,$218.88,"Calculate
Varies based on location and shipping method",$218.88,https://www.ebay.com/itm/CAP-110-LB-Olympic-Weight-Set-Similar-to-Golds-Gym-Cast-Iron-Plates-Fast-Ship/164231737441?hash=item263cf97061:g:E9IAAOSwT9Je2Q8f
300 lb Olympic Weight Set with 45 Pound Barbell  🏋️💪 - BRAND NEW!!,$900.00,$250.00,$1150.0,https://www.ebay.com/itm/300-lb-Olympic-Weight-Set-with-45-Pound-Barbell-BRAND-NEW/193550877457?_trkparms=ispr%3D1&hash=item2d10880311:g:vy0AAOSwaKFe~2Qg&enc=AQAFAAACcBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkfKe2vUidqHRg3XM2X2xOVBNQ%2FWEarNG4xo3VqOxqOmyKJRl60Q95YVZbYg9MsT5MxrbvYvoV6VQNLic6l9jmKtUmyDu0WojSVApuf6HaMVWchZpW2giePAMhCYImCAAKQptv57eCMrDTMgMtT5pkcbOANTZqLQZOhXVkRyOanxe8EUMpt4iajMG5dZUstE%2Byt3BhhP%2FUMHOIWZreSzQzkz2A2x%2BekiCU4CwQ%2BaqJRSxN3dLYUnYXUrsaPBYkgVVuz0cL0QcNHtxyeRfbXpE6JbUn0frUFpPFS%2FaD7qYsjtc3CFRokEGzdBW4h%2FcURqdBj3fzcFXIvs6%2FoqeybALGUTTkRH8SLyrVsj5Q3rTCghxHvXlGKL9SZo%2BwVLmzannQBTGechVpXby0dF%2BBEbyxUS0DISSWyESZ0Wl7qcWsXqyanXd5gI7zCKQjPopKd93HMMBNDVTHRH%2BszHG9NPKX7YpcK1ZIsn606XegdB8Ve4da%2FCfbv64SPjYKkUgZpdSqgDDrquJ9mpAeRXovU1OiVJr9NGu4Dp0Qw%2F%2B3AxTkHf1kZHsC4EkHbr9XrTQx2%2FVedIU%2BY%2FJl56EKmKQizAwQE9KOO2oLvhBOjQTPga2hUT7hmq7e9lK7AlnXoGJooHCW0c22VTEZRNU5Bs5paf%2BHDrEZqXRNgZDUsdCcvujrnAUUFdEAQLrZTcrM5idAtNtWT%2FRJQai00InjwchUvGU12fXcUJe3YzsSlN5KOip9NM22PSJ7rqohlVpwipjKuGvKcuiy5Vj5IwvLCu5gmrxUGA%3D%3D&checksum=193550877457e9ace1ef055a4965925b7f81169fe0f5
CAP 35 lbs x2  Olympic Weight Plates (Set) 35 Pound x 2 (70 Total) 2” Barbell,$219.00,"FAST 'N FREE



				Guaranteed by Tue. Jul. 14 | 

 See details",$219.0,https://www.ebay.com/itm/CAP-35-lbs-x2-Olympic-Weight-Plates-Set-35-Pound-x-2-70-Total-2-Barbell/203043971218?epid=663158793&_trkparms=ispr%3D1&hash=item2f465d2092:g:j0IAAOSws41fAd7P:sc:FedExHomeDelivery!20120!US!-1&enc=AQAFAAACcBaobrjLl8XobRIiIML1V4Imu%2Fn%2BzU5L90Z278x5ickkrmmq8hWevtuKE7%2F%2BLfVXtm6x%2BXSGzk0mhbQTuPotlZRc6Dczm2HrTnGazSJmQ0x99BI%2B%2FETJenfluoEzSlVsHflUJUwd556s6xsL0Js%2FbX6DJZXCCl9C%2FQJFjw85W6Cdqaruvm2rAbiomHUySSpvIewF%2F53hYWY8u7liVbJzhIVMX9H1xT6%2BEh97DiCG4HIAKTOJ%2Fmiih%2Fgae0srQdlDe%2FBaO0eS9T9g23UYz7oZ2ClB%2B%2Bda1qL%2FEpQ%2B8BbgWbrb9BLczh6vtfRPkDdGtpbZ5QRfhZI3ZDlbIOfBiH8by0j9gFKClQIZ%2FHNOzGr7oMwci8ScYzlXEJlubgoXDfliL1oEHA1pmQheinFquh4U%2BIrkP%2F3SWoLPcChVCoSxKwCZQayccl2PS2pL11ySdAgQjTW1bgbcIOq2oaSkVisse7fC%2FScArrIumO7WvkP5vX15F%2BB5rslNQfWFZN3o7k0tINa4rB1gLrtypMWEqfsZ21DU6BXyEFKb9CGAEJxgsp7%2Bh2FUH8rP5sAslMSJWvxPRGuM7CZAe6JaszLPyw3%2FqvHnfOGXhIpLXxnXBmsgF6XFRxYMOMOpRdvUFiasvPEZEuzhHrv6DjTzZVJlSWITWUfaCPPhbgkcs0jKS7t0VWNxGy9pWlxI6hVMc%2Bz5%2FYxEeV7oC%2FejTbrz%2FAovGfnKdoTm8lmBHvKHnfBzuLsuQwz4ZsWgMuXIAb%2FMMS60o5VlD9tJPqURDEcwM78DA63rrmf%2FYisVYSR9Aru3hJOd8vUENSyDWeVDts%2FZbUI%2FNSQOcg%3D%3D&checksum=203043971218e9ace1ef055a4965925b7f81169fe0f5
Set of Iron Grip Olympic Urethane Weight Plates - 655 Lb - SHIPPING NOT INCLUDED,"$2,299.98","Freight - Read the item description or contact the seller for details

 | 

 See details",$2299.98,https://www.ebay.com/itm/Set-of-Iron-Grip-Olympic-Urethane-Weight-Plates-655-Lb-SHIPPING-NOT-INCLUDED/301723996733?hash=item464026d23d:g:aPIAAOSw4ytezAQw
